Bond Name,ISIN,Issue Date,Maturity Date,Coupon,18-Jan,19-Jan,20-Jan,21-Jan,22-Jan,25-Jan,26-Jan,27-Jan,28-Jan,29-Jan,,,,
CAN 9 June 1 2025,CA135087VH40,1994-08-02,2025-06-01,9%,137.27,137.24,137.2,137.04,137.08,137.13,137.1,137.18,137.01,136.98,,,,
CAN 0.5 Sept 1 2025,CA135087K940,2020-04-03,2025-09-01,0.50%,100.33,100.32,100.3,100.22,100.27,100.37,100.33,100.42,100.35,100.33,,,,
CAN 0.25 March 1 2026,CA135087L518,2020-10-09,2026-03-01,0.25%,98.78,98.77,98.76,98.66,98.71,98.84,98.83,98.93,98.86,98.81,,,,
CAN 1.5 June 1 2026,CA135087E679,2015-07-21,2026-06-01,1.50%,105.59,105.57,105.51,105.37,105.4,105.5,105.47,105.56,105.46,105.44,,,,
CAN 1 June 1 2027,CA135087F825,2016-08-03,2027-06-01,1%,102.99,102.97,102.89,102.72,102.8,102.98,102.91,103.02,102.91,102.85,,,,
CAN 8 June 1 2027,CA135087VW17,1996-05-01,2027-06-01,8%,146.6,146.57,146.46,146.21,146.28,146.48,146.37,146.49,146.3,146.21,,,,
CAN 2 June 1 2028,CA135087H235,2017-08-01,2028-06-01,2%,109.97,110.06,109.94,109.65,109.7,110.03,109.92,110.07,109.91,109.82,,,,
CAN 2.25 June 1 2029,CA135087J397,2018-07-27,2029-06-01,2.25%,112.59,112.61,112.43,112.11,112.27,112.62,112.5,112.7,112.49,112.41,,,,
CAN 5.75 June 1 2029,CA135087WL43,1998-02-02,2029-06-01,5.75%,140.81,140.83,140.61,140.24,140.39,140.78,140.66,140.86,140.6,140.5,,,,
CAN 0.5 Dec 1 2030,CA135087L443,2020-10-05,2030-12-01,0.50%,96.52,96.54,96.32,95.97,96.14,96.52,96.38,96.61,96.44,96.37,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
